attribute	required	default	type	array	class	ontology	ontology_root	controlled_list_entries	dependency	dependency_condition	dependent	attribute_description
growth_factor_perturbation			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/api/ontologies/pr	PR_000000001			sample_type in [cell line, organoid, cultured primary cells]		a growth factor added to a cell culture media
growth_factor_perturbation__ontology_label			string		ontology_label				growth_factor_perturbation			growth_factor_perturbation__ontology_label
growth_factor_perturbation__concentration			number	TRUE					growth_factor_perturbation		growth_factor_perturbation__concentration__unit	Concentration of of each growth factor in the final tissue culture media. Order should be consistent with growth_factor_perturbation
growth_factor_perturbation__concentration__unit_label			string		unit_label				growth_factor_perturbation__concentration__unit			growth_factor_perturbation__concentration__unit_label
growth_factor_perturbation__solvent			string	TRUE					growth_factor_perturbation			Solvent in which the growth factor was added to the cells. Ex. the base media.
growth_factor_perturbation__source			string	TRUE					growth_factor_perturbation			Source from which the growth factor was purchased
gene_perturbation			string	TRUE	ontology	https://www.ebi.ac.uk/ols/api/api/ontologies/ogg	OGG_0000000002					A perturbation to a gene done to a cell culture
gene_perturbation__ontology_label			string		ontology_label				gene_perturbation			gene_perturbation__ontology_label
gene_perturbation__method			string	TRUE					gene_perturbation			Process by which the gene was perturbed. Ex. CRISPR knock-out
gene_perturbation__direction			string		enum			["knock in", "knock out","activation","repression"]	gene_perturbation			The type of perturbation of the gene defined in gene_perturbation. Knock in and knock out are complete additions/depletions of the gene, activation and repression refer to changes in magnitude of expression.
gene_perturbation__dynamics			string						gene_perturbation			Description of the timing with respect to sequencing and other logistical considerations of the gene perturbation
CellID	Yes		string									
cell_type			string		ontology	https://www.ebi.ac.uk/ols/api/ontologies/cl	CL_0000548					Cell type name determined via unsupervised clustering and marker genes
cell_type__ontology_label			string		ontology_label				cell_type			cell_type__ontology_label
number_of_reads			number									Number of reads mapped to that cell
